Date,Country,Rating,Title,Review,Page
05-Nov-20,the United States,4,"The Pros, Cons and Oks for Echo Dot 4th Gen (HR)."," Pros:__________<U+2022> The globe design with the fabric speaker layout is a decent upgrade from all the previous flat Echos. With the glowing ring now at the bottom of the device, you get a mini space ship.<U+2022> The ※tap to snooze§ is a feature that will be helpful if anyone wants this Echo near their bed. When the alarm rings you just need to tap the speaker (the device) with two or more fingers and it will go to snooze for a short time. No button pressing, just anywhere on the speaker and it＊ll let you sleep a little more (but just a little more).<U+2022> A 3.5mm audio jack for connecting a wired speaker. This is something that Google＊s nest mini no longer has. I appreciated that Amazon put this in.<U+2022> If you never used amazon products before, the setup process on any of their machines are ridiculously easy. This is no exception. Just a phone, an app and that＊s it.<U+2022> I＊ve had their previous model and setting this up was even easier because all the info I had on my account (Wi-Fi password, smart-plugins, etc.) just merge in flawlessly with this Echo.<U+2022> Alexa itself is fast. From weather to set times, to stories, and even jokes. If I want directions she responds almost instantly and overall performs excellent, like the previous model.<U+2022> One of the perks of Amazon Echos is the vast inventory of smart devices that you can connect with. You can buy smart plugins, smart lights, and 1000s more to make your place a ※smart§ place. In this day in age, the restrictions on what a smart device can be are minimal, and overall it＊s a big reason why you want to buy an Echo instead of Apple＊s Homepod.<U+2022> You＊re able to listen in on another room if you＊re not in the area and the Echo is. A pretty neat tool to have if you＊re in an ※uncertain§ relationship.<U+2022> The Echo does an excellent job of understanding your routines. For example, my hallway, and bedroom lights are always on at the same time before bed. If I＊m in bed I can say ※Alexa, good night§ and Alexa will shut both of them off. This can also be used to say ※Alexa, good morning§ and Alexa can turn on any smart devices at the same time in the morning. TV, stereo, coffee maker, all you need is a smart device connector.<U+2022> Amazon Music, iHeartRadio, TuneIn, Deezer, Spotify. You have all the choices in the world in choosing your music channel (except of course google and apple music)<U+2022> This Echo can connect with any of the other models of Echos, regardless of generation. This means that you just need to tap the Announce tab on Alexa and you can say/type a message of your choosing. All Echos in you have will be able to repeat what you said. I found this pretty niffy if you have kids throughout the house and you want them to come to you.<U+2022> The light-up time and temperature are bright and never overbearing.<U+2022> Echo can also call landlines, and any calls placed to numbers in the U.S., Canada, or Mexico for free. Note: Your Wi-Fi strength will be your indicator if the call quality will be good for you.<U+2022> The volume on these devices doesn＊t bring in any distortion or cranked tones when turning this device up high.<U+2022> Overall the volume balances heavily towards the highs and mid-tones. A decent performance for the size that it is.Cons and Oks:__________<U+2022> There is little to no volume bass in this device. The result makes an overall boomy experience. It＊s still decent sound but it wasn＊t something I was amazed by.<U+2022> This isn＊t a 360 design as the fabric covering the speaker covers only around 2/3rds of the Echo. This leaves a bare wedge in the rear.<U+2022> As much as the voice assistant is helpful, you still need to speak to Alexa with a ※specific§ dialogue to get what you need. One of the benefits of Google in my eyes is the software in their mini. You＊re able to be more open in the conversational dialogue. Alexa isn＊t there yet.<U+2022> For the size, I have to say that you＊re getting a pretty large power brick.<U+2022> Alexa Guard is a cool feature where it can inform you in the app if Alexa hears a smoke alarm or breaking glass when you＊re out. I put this in the Con section because I kept getting false alarms from Alexa. I don＊t know if this was a glitch but I assume that a software update will fix this problem. When it does, then it＊s indeed a great tool to have, but don＊t expect it to be beneficial if you have an indoor dog/cat.<U+2022> Amazon does have a $5/month service where the save guard will listen to footsteps and opening doors. Don＊t know why you have to pay for this if the software is already on the device.<U+2022> I wish that you can buy the kids the designs for the Echo without the need to buy a one-year subscription to Amazon Kids+.Bottom Line:__________This is either an alarm clock next to your bed or a nice radio when you＊re cooking. It＊s small, light, and you have the same Alexa power that Amazon＊s more expensive Echos have. With the price that it is, this Echo is a great way to see if you want to start making your house a ※smart§ house, or even for someone who isn＊t tech-savvy. I do recommend that you fork over the extra $10 and buy this Echo with the backlit clock.Now for those who have any of the previous models, this isn＊t worth the buy. There aren＊t many significant changes. The main function of this Echo is the same performance as any other model (this is coming from someone who has the previous gen). Amazon still hasn＊t fixed the bass issue, then again you＊re paying not much for this.In the end, Amazon does a great job with the software of these devices. They＊re very simple to use and don＊t take that much power in using them. As I mentioned, one of Amazon＊s best perks is the vast variety of third-party dealers that the Echo can connect with. This is something that both the google mini and Apple's Homepod don＊t even come close to.Overall: An updated design built well for your bedroom or kitchen, but no need to upgrade from its predecessor.Hope I was a help to you.Love,Honest Reviewer ",1
05-Nov-20,the United States,5,4th Gen. Twilight Blue w/ clock | A great upgrade,"The media could not be loaded. <U+00A0>I preordered this echo dot with clock and began using the first day available on November 5th 2020. I have multiple 3rd generation echo dots with clock and I love the upgrade to the 4th generation echo dot with clock. I chose the Twilight Blue color and it＊s great looking in person. It＊s a nice break with additional from the charcoal and sandstone color but still looks elegant and sleek in design. The light ring on the base and digital clock display and brighter and more crisp than the 3rd generation dot. It＊s very easy to read. The speakers and microphone are improved as well. The wire is a light grey color and the 15w Adaptor is rectangular in shape versus the square shape of the 3rd generation 15w power Adaptor. The manual buttons to control the echo are on top similar to last years model, but slightly recessed towards the back so they are not in view when staring directly and the front of the digital clock face. The speaker is more full in front of the dot and raises in the back where the wire plugs into dot. Setup was easy. I am considering trading in my older 3rd generation echo dots with digital clock for additional 4th generationecho dots with digital clock instead. ",1
05-Nov-20,the United States,5,"A big improvement. Worth the wait, and money!","The media could not be loaded. <U+00A0>Just received it today for my daughter. She loves it! For years she has been trying to get her hands on my echo devices. Now she has our own. I must say it is a big Improvement from the 3rd Generation Echo Dot.It has true surround sound.~ The LED clock on the front is very bright, and displays the time in standard, and military time. It has a time, and alarm indicator.~ The lights around the base increase and decrease according to the volume setting. This Echo dot puts on a nice little light show, if could almost be used as a night light.~ The buttons for the microphone, volumes up, down, and deactivation button sit on top of the 4th gen echo. With raised button symbols it can easily be accessed even in the dark.~ The sound quality is a real improvement. You can hear channels, lows, midrange, and highs. I mean it a small speaker, so you can't expect to get bass thumping, room shaking sound. But it will surprise you with how powerful it is for it's size.~ The microphone is a upgrade also. It's very sensitive, and can hear you practically whisper across the room.~ It still has the 3.5 mm output jack to connect to bigger speaker systems. So you can still get that room shaking sound. If you have big speakers you can make them smart.If you've ever had a smart speaker before(echo, google) or you have a whole host of skills aside from playing music you can activate from the Alexa app.~ Apps to set reminders, lists~ Set alarms, and timers.~ Play games, and trivia, and puzzles.~ Read to you from your Kindle books, and Audible acct.~ Control smart devices like smart lights, outlets, and even smart locks.- The one drawback (Con) that I found is that when - I have its side by side with the 1st, and 3rd generation Echo Dot it is actually a few seconds slower in responding.But overall the 4th generation Echo Dot is a improvement. You get for playing music, and it plays music better than the previous gens. Amazon continue to improve, and make a good thing great. ",1
05-Nov-20,the United States,5,Great echo dot stereo system !!!!, I purchased two of these to achieve true stereo. The updated spherical design is a great update to the column design. Although the speakers are physically small they are relatively heavy. The sound quality is superb and the volume is more than adequate. Set up was easy using the app. These are great addition to my family room. ,1
05-Nov-20,the United States,4,Clock Display Too Bright," Alexa is awesome. We have 8 echos including our 2 echo-auto's.The new round echo dot w/clock has a clock display that is too bright at night. I have to turn it away from me at night so it does not shine so bright. Which means I manually have to turn the dot at night to see the time.Amazon needs a software update so the clock display brightness can be controlled to a bare minimum. Or if the display was red or perhaps blue would be better. The ""Adaptive Brightness"" feature does not work in this respect. ",1
05-Nov-20,the United States,1,Doesn't hear well," I got this to replace a 3rd generation Echo Dot and quite frankly it sucks. With the 3rd gen I would have to say the wake word 1-3 times for it to recognize me, with this one it is taking 3-10 times. It never understands me the first time. Beyond that I don't care for the new form factor, it does not fit beneath my headphone stand like the old one.*Update* - March 30th, 2021 - It still doesn't respond as well as the 3rd gen, I want to get a 3rd gen to replace it but they're no longer in stock. Twice today it stopped listening while in the middle of giving it a command and that was after saying the wake word 10 times to get it to respond in the first place. This is the worst Echo device to date. ",1
05-Nov-20,the United States,1,Echo dot 4th gen," Echo dot 4th gen.I've had all the versions of the Echos over the years and this one has issues ""hearing"" when you speak to it.I can literally be four feet from it and have to say Alexa three times for it to wake up and hear me.However, it hears me fine from another room when I'm talking to another echo.Annoying.Bought three of these and boxing them up and pulling out some of the old units. ",1
05-Nov-20,the United States,5,Worth the money <U+0001F4B0>., Good looking <U+0001F44C>. Perfect size and sound quality is good. ,1
05-Nov-20,the United States,1,Shares your internet," Just got this, and then I come to find out that it is sharing my internet connection for literally any stranger to use. I have data caps that this works against. I can't believe amazon would do this. ",1
05-Nov-20,the United States,1,One star due to being a paper weight without internet.," The 4th gen echo dot with clock was my first Alexa and I am looking into returning it. It will not do anything unless you have a wifi connection for it. The clock, alarm, everything is nonfunctional without an active wifi internet connection. I understand that many of the services require internet, but a clock and alarm should not require an internet connection. ",1
05-Nov-20,the United States,5,"Definite improvements, replacing a gen 2 Dot"," The media could not be loaded.<U+00A0>My 2nd gen dot had the speaker go out, so replaced it with this new one. Such an improvement!The speaker is slightly better.The voice recognition (which is my biggest gripe with the 2nd gen) is greatly improved. 9/10 in hearing now. Such a relief!The size is like a baseball now instead of a hockey puck. But uses about the same footprint.Overall more refined in appearance.Down side is that it doesn't run on USB any more. It has it's own plug now.I'm glad I got this!FYI: The display isn't just for the time, but shows timer and sometimes even text (scrolling). Watch closely as you set it up. Replacing this one with the old one in the app was as easy as it gets.NOTE: I needed a stand for it, so I made one myself. See the video. ",2
05-Nov-20,the United States,5,Modern look with clock and alarm," Love it, small has a clock.Very modern.Replaced older version ",2
05-Nov-20,the United States,1,Maybe mine was a lemon? BUT I'LL NEVER KNOW!," Super bummed. Bought this for my birthday.It wouldn't turn on with the command and other issues. I was willing to give the ball the benefit of the doubt because I have several Amazon devices. We spent the weekend trying to work out the kinks. I think we reset it 5 times. Today I chatted with an Amazon representative and we troubleshot the problem, thought it was fixed,but no. About 30 minutes after we ended the chat the problems started up again. This time it wouldn't play the song it was asked to even starting in the middle of the wrong song. So I chat with another Amazon representative and I did not want to troubleshoot anymore. I wanted to exchange it. Apparently I can only return it... that's not fair. It's an Amazon product sold by Amazon.Because they're on back order?I want to be on the back order list in hopes of getting one that works properly of course. So I'm just not happy <U+0001F611> ",2
05-Nov-20,the United States,1,"Alexa, I think we should see other people"," Bought product because it was a newer, more stylish model to replace my older Echo Dot but never mind on that. Initial setup was a breeze but then Alexa stopped listening to me. Tried troubleshooting but got caught up in an endless loop of setting up. Also, I wanted to set up my Echo Wall Clock but couldn't. My clock was super simple to set up with my older echo for model but it seems that they changed the simplicity of set up. A newer model should ADD features but take away. No big deal, just gonna say bye bye to new Alexa and back to my old girl ",2
05-Nov-20,the United States,1,DID NOT EVEN GET TO USE IT !," I did not even get the chance to use it. It is practically brand new. (Such a shame) I am returning it because it will not connect to the internet. I was on the phone with customer service soon as I received this piece of junk and they still could not figure out the issue. I do not have time to sit and repeat myself a hundred times (literally) because they are trying so bad to get the crap to work. I was not expecting this. I know there is nothing wrong with my internet because other devices are connected and this was an upgrade from the Echo Dot 3rd Gen in which I should have kept. I hate this product. Maybe this one has issues, however, at this point, I do not care and will be returning it pronto. I may try another one in the future. I am really unsure. Anywho.....MAKE SURE TO GET THE SERVICE PLAN! I purchased two echo dot 3rd gen. One died within a month. Had I known what I know now, I would have gotten the plan for it. ",2
05-Nov-20,the United States,5,Easy to install, The media could not be loaded.<U+00A0>This product is excellent if you have more than one you can use it as an intercom and listen to music in all your rooms or make announcements.You can use this to get the date listen to the latest news free music stations and weather. You can also make telephone calls with it. Installation was very easy all you have to do is download the Alexa app complete the instructions which is just giving it your cell phone number and your name you will need to know your Amazon information and your router information. it probably took me less than five minutes to install it. Please vote helpful Mine has a clock on it The numbers are digital on the front and on the top has press buttons for volume control and to mute the microphone ,2
05-Nov-20,the United States,1,Had to keep unplugging it to get it to work right," I think she was defective, I would see the blue light when I spoke ""Alexa"" and I would ask her to do something and the light would go out and she didn't do anything.I can't very well scream at her while my husband is laying in bed sleeping!I would have to unplug it and wait a few min and plug it back up and it would then work.I had to do that a lot so I finally just sent it back and ordered a new one, so far so good on that one!I love the clock on it and when you ask what the weather is, it shows on the ball.The clock dims when you turn the lights off too and that is neat!So I am hoping that the new one works because I really do like it!!!! ",2
05-Nov-20,the United States,5,The new privacy features made me buy it. love her!,"The media could not be loaded. <U+00A0>I had stayed away from Alexa for a long time, because it just freaked me out that ※she§ was listening to everything, all the time... and all the other stuff I had heard negatively, but I saw the newer Gen one was on sale, and there＊s a button you can now press that makes it so she doesn＊t listen to you. Also, you can have her delete everything she has ever heard, and all sorts of other features now that protect your privacy.It＊s smaller than I thought it would be; wish it was a little bigger, but that＊s just my taste.Overall, she works great, and I plan on getting the light bulbs that work with her, and the Ring doorbell system, and I already ordered the FireTv Stick and remote- that gets here tomorrow! So now I＊m totally ※Alexafied§! lol ",2
05-Nov-20,the United States,3,Great with one issue - Did I find a bug?," I'm so glad I ordered these.I ordered 2 of them.I have a FLIP 4 speaker that wouldn't work worth anything with the 2nd generation dots we have.The new ones have updated the bluetooth version and now the FLIP 4 stays connected and plays great.So everything is great except this.I have the app profile set up to auto connect to the speaker.I turn the speaker on and they connect.I play music while in the shower with no interruptions, finally.When I'm out of the shower, I can do one of two things and get the same result...1.) Say ""Echo, stop the music.""The music stops.I can ask echo anything I want and it won't respond at all.2.) I turn off the speaker and let the music continue to play through the dot.I can ask echo anything and it won't respond at all.To get it to respond, I have to hit the mute button and then hit it again to turn it off, THEN it responds.I can replicate this every time.Not a huge deal, but it's a little irritating. ",2
05-Nov-20,the United States,4,Beware Before Downloading the Alexa App," It would help if the instruction manual would have a link for the correct download of the app. It says ""Download the Amazon Alexa app"" so I googled ""Amazon Alexa app"". Several links came up and unfortunately I picked the wrong one. The d/l gave me an error code and a number to call. The person answering got into my computer and tried to show I had an unsecure line and needed to buy a firewall to the tune of $400. Something just didn't feel right so I turned it down. I was able to find the correct link and the d/l and instructions went smooth. Now I was left with the horrid feeling that some stranger had gotten control of my computer...googled Alexa Dot Scams and found this very thing is happening to many people who fall for it and are out the money and stuck with a firewall that doesn't work ",2
05-Nov-20,the United States,5,Best One Yet Because of More Than Its Shape .," I've got Echoes and Dots from 1st to 3rd generation and this Dot is leaps and bounds above my even 3rd gen stuff.First thing I noticed was the weight of the box. It felt just about the same as my 3rd gen Echo , but the wall wart felt lighter on the Dot .Upon removing and plugging in I saw a HUGE improvement in set up. It practically set itself up vs every other one gave me some sort of issue, be it Wi-Fi or connecting to smart devices , Bluetooth , or home theatre equipment . In 5 minutes it was set up , wake word changed and routines switched from my Echo to it . Does this mean Amazon knows more about my private stuff ? Maybe or maybe they got the software right .The sound quality with music is almost as decent as the full size Echo but bass distorts at a lower volume when listening to music. Vocal sounds are hard to tell which is which whenset the same in the Alexa app .I initially planned to set the Dot near my sofa and move the Echo across the den but the microphones on the Dot are so much more sensitive than the big brother the Dot ended up across the room and the Echo stayed where it was . I don't find anything wrong with the gen 3 Echo but the 4th gen Dot is just a lot better. No need to hit the mute on the tv to tell it to change the channel on my Hopper .The clock is why I got the thing and I really really am glad I paid the extra 10 clams to get the clock. I keep it manually set you 3 (30%) and it's plenty bright with or without lights on in the room. The fonts are crisp and large enough for my 56 year old eyes to easily, even on heavy allergy days . Just say ""Alexa what the current temperature "" and the clock changes to show the local weather affiliate temperatureand she also says what it is plus what the expected low for the day is . Adaptive brightness SUCKS on this thing though. It says try it and it'll adapt but I have not the patience and it sets the brightness so low I can't barely see it , even up close , and cannot read what the time is . It's like it's set on maybe 1 (5%) . Perhaps a software update will help but as of now setting it on 3 (30%) works well in all conditions and is not enough of a nuisance to take away my impression of this device being a huge upgrade from the 3rd gen Dot I got my daughters . If they add a clock feature to the new Echo I'll update mine to it but as of now the Dot is a great addition to my 20x28 man cave .Edit. I saw someone had found a way to make their Dot gray. I now have a charcoal Dot with clock and couldn't pass up the sale price along with 5 interest free payments for a Death Star (full size Echo ) after reading many many reviews and also seeing video reviews . The new Echo will be here in a few days and I'll use by blue full size somewhere else . ",3
05-Nov-20,the United States,1,6 months later and it will no longer connect - DUD," Purchased in November and I changed one of my network names and now it will not connect to either the new network or the old one. Spent time repeating troubleshooting steps and hours later, no resolution. I requested a replacement and was denied one because it's past the warranty.Heads up, amazon does NOT stand behind their products and I have a useless...idk rock...not sure what it can even be used for its not nice enough to decorate my coffee table. ",3
05-Nov-20,the United States,1,Didn＊t work after 2 days, I＊ve have Echoes all over the house...never had a problemGeneration 4 lasted only two days and died no clock no nothing ,3
05-Nov-20,the United States,2,Needs work.," Echo Dot, 4th Gen, Glacier WhiteThis replaced a 3rd Gen Dot because of the clock. The clock is very bright in any light when set 10. However when Adaptive Brightness is turned on, the clock display dims and is barely visible in a sunlit room. Turn off Adaptive Brightness and the display is a beacon, very bright even in direct sunlight. This needs work.Frequently, I have to raise my voice considerably to get Alexa's attention. Once awake, my normal speaking voice is usually sufficient to order Alexa around.The audio quality is nothing of which to be proud. These aren't meant to be music speakers by any mean, so I give them a bit of a pass. But the sound is a typical Dot-muffled bass. The only was I can get clear intelligible responses from Alexa is to completer reduce the bass, and the midrange (slightly) and boost the treble to the maximum. Even then the audio only clears up when raised above normal conversation levels.The only plus over the previous Dot is the display, and as such - not so much. I would rather have the Dot 3 with display but it was more than I wanted to spend and the 4 was at a good price. ",3
05-Nov-20,the United States,2,Poor power cord plug design.," The cord placement is terrible when used as a nightstand clock.The cord doesn't direct to the back when you have the clock facing the bed.They should have designed the base like the older tap, which has a rotating ring with the cord plugged into it.The cord just wants to pull to the side of the nightstand and it looks horrible when viewing the nightstand face on. ",3
05-Nov-20,the United States,1,Amazon lies about support for their products.," Amazon's products have gotten cheaper and cheaper over the years. Not necessarily cost, but quality and support. We have several echo dots from previous generations that haven't ever skipped a beat. They just work consistently. This new ""clock version"" I purchased for my wife November 2020 to use as a bedside clock. As of this writing June 2021 the thing is completely dead. After several times being unplugged, un/registered, reset, etc. it won't respond to any wake commands. Now even though my order states ""Replacement may be available until Dec. 2021,"" Amazon support will not simply replace it. I have to mail it back to them and only after complaining and escalating the issue they offered a ""one time"" courtesy replacement, (which was only offered after she saw how much $$$ I spend at amazon yearly.) This is just sad for a company this size and a device this cheap to have to go through this much hassle to get a replacement. I talked longer with tech support and consumed more ""staff time"" than the thing was even worth. Dealing with their customer support is just unbearable for anyone with half a brain. I am seriously considering my decision to go with all amazon products instead of a competitor.Update as of July16 2021. Still battling with Amazon on REPLACING the device that died after 6 months of use. I have talked to customer service who did some troubleshooting and were supposed to call back in 24 hours. That never happened. I chatted a second time and was told they would email me a return label, then give me a discount towards purchase of another device. That never happened. Finally I chatted just now and went through 2 escalations (if there is such a thing at Amazon.) All they would do for me is offer a 15% discount towards the purchase of a new device. Why would I buy another one when this one died in 6 months and they won't honor what my order states? For the record, the order states that ""replacement may be possible through Dec. 16th 2021"" and to call customer service. Turns out, that's a big lie. Even some Echo Shows that I bought on the same order show ""replacement may be possible through Dec. 2nd 2021"" So this will probably be my last Amazon device that I buy. The quality has gotten much worse over the years, customer support is non-existent, they clearly lie to their customers, and I don't have the time to agonize over a $40 device. I will be taking my money elsewhere in the future. AdiosAmazon! ",3
05-Nov-20,the United States,3,Not sure yet," Replace a Dot 3rd gen with this one one because I thought the new design had better sound and I wanted clock display. Setup was easy as expected.Having two issues which I'm working with.1. The LED is very bright and the adaptive brightness doesn't seem to work. Doesn't do anything and stays dim when light is on or off. Could be that it is sitting in a shelf and not under direct daylight ? Had to turn it off so see anything during the day...Brightness 2 seems to work fine, but it's almost too bright during the night (don't need a night light).2. The Voice recognition. Seems to me that the mic has sometimes problems picking up and interpreting it. Need to make sure there is a longer pause between the Words ""Alexa"" and ""the command"".Also sometimes, mic doesn't pic up and you have to repeat. Didn't see this with Gen 3Additional comment: Did some test with a flashlight and it seems the light sensor at the back of the Dot does not pick up changes of light if device sits in a shelf. Works great when device is out in the open. I think the device nees the sensor either on top or front. Bummer ",3
