Date,Country,Rating,Title,Review,Helpful,Page
27-Aug-21,the United States,1,"~a month later, quest 2 is now just an annoying brick","I think Facebook did a great thing with this ""new"" release of the quest 2. The headset itself feels quite nice, although the strap is definitely something to work on, it's way too front heavy. It's also extremely uncomfortable using glasses, unfortunately. Even with that said, the Oculus link feature was the only reason I bought this headset; and it's everything I could of asked for. My internet isn't even that good, all it needed was my laptop to be connected by ethernet for a smooth, high quality PCVR experience that I could take ANYWHERE IN THE HOUSE! I only had slight lags and stutters, but that's likely just my mediocre hardware. I'm a bit bummed by the comparably smaller control scheme compared to something like the vive.If you really want to have the best experience with this headset though, then don't put away that wallet just yet. At the very least, a new strap would be optimal, and I'd stay away from the first party elite strap. A new face cover might be good for you as well, as the default foam cover isn't the best for everyone.Overall, this headset is a great step in the right direction for vr tech. Although, out of the box, it should be subject to some modifications; which some could call a feature.One more thing, don't worry about the whole Facebook account thing. If you're fine with using whatsapp or Instagram, this shouldn't be a problem either. It's not like Facebook with Oculus is a new thing either, as Facebook has owned Oculus for 7 years now.Edit: after about a month of use, this headset has now become the most annoying piece of tech I own. The one feature I bought this for (Airlink) is straight garbage over half the time, im spending more time trying to fix this failure than I am actually using it. Connection hilariously unstable over ethernet with completely random performance drops. So both an unstable and sometimes unplayable experience that I paid 300 dollars for.","1,114",1
28-Aug-21,the United States,1,Has to be one of the worst experiences ever,The Quest 2 requires you to use your real name and photos via a Facebook account to use essentially a video game system.This is beyond ridiculous.I do not want to use Facebook.I tried to create a dummy Facebook account and it suspended my account making me upload pictures of my face.What the hell!!!I just want to play some games.Shame on Facebook.Shame on Oculus.Shame on the employees working there.Shame shame shame.I¡¯ll be returning this.This is why Facebook is a garbage company.,"1,063",1
29-Aug-21,the United States,5,64 more GEEBEES for 100 less MONEES,I mean what a good deal.,787,1
30-Aug-21,the United States,1,Good device hate having to have Facebook,Good device hate having to have Facebook.Airlink is nice.Just completely stupid that you have to have a Facebook to even use the device.You are losing customers by forcing them to use Facebook.,675,1
31-Aug-21,the United States,1,Facebook Ads - Cheap Product,"My expectations were probably a little too high to be able to just plug the thing into my computer and start playing. It led me through a very linear and invasive data gathering setup with no way to skip or ignore. Why would facebook do this? They're making most of their money on this product collecting your data by linking this product to everything it possibly can. You are paying for a way for facebook to gather your info and make money off of it. You don't like it? Return it like I did. I have a lot of great things to say about the return process. This is the first thing I've ever returned, and I gotta say that it was a great process.Facebook stuff aside, the screen door effect was very noticeable and distracting. I might be a bit spoiled from having a 4k monitor, but it was definitely a large step down from where I would be impressed. The strap it comes with is pretty bad. I couldn't get it on my head right. When I did finally get it in an ok place on my head with the eye spacers just right, there was a GIANT gap where the nose section should meet my face. Everything said and done, I couldn't return the thing fast enough. I owned it maybe 2 hours before I totally lost interest.",314,1
01-Sep-21,the United States,1,You HAVE to have a Facebook Acct.No thanks,I cancelled my order because I saw om youtube that I HAVE to get a facebook account? No way I don't want to have them spy on me thank you. Also I found out I will have to use my Iphone also. No way I do not use my phone to go on line to apps. Just text and phone. I did not see all this in the ad for this VR headset.Whoever thought of this (facebook) should be fired. Also I was told the lens has blurry issues.,295,1
02-Sep-21,the United States,5,"Fantastic, and no fuss.","Honestly, the best thing about this sort of VR is that there's no wires to deal with. Turn on, sign in with Facebook, and done.Also, Beat Saber is pretty much the greatest thing ever. Just...yeah... Beat Saber is life.I know there's something to be said for ohnoes!, - Facebook has more data! Honestly, if they want to see me flail around in Beat Saber, knock yourself out, Facebook.I did pick up the Elite headband/battery/case, and that finishes off the package, but it's by no means necessary - just nice to have. Overall, loving this thing. Yes, the resolution could still be (a lot) better, but for convenience and fun - this is where it's at. We've come a long way from the PSVR days and the crazy setup process and cabling.Excellent stuff, - and great value in its new 128GB configuration. 4.5 out of 5.",197,1
03-Sep-21,the United States,5,Simply a game changer with a great price point!,"This 128GB storage capacity is supposed to replace in full the previous 64GB version while keeping the same amazing price!I must admit this 128GB now suits most newer games which are usually massive in size. This is really an excellent space to store good/new/high quality games. Even giving the option to store/watch more 2D and 3D movies.I myself liked the head strap that comes with it, although I never tried the Elite Strap.I would also recommend getting an anti-scratch silicone ring protector if you wear a glass like me as this should help both: your glasses and the VR lenses from getting scratched. It will let you keep your glasses on while playing games or watching movies.Before you use the headset straight away, it needs a few tweaks here and there to ensure comfortable wear specifically for your head size and comfortable view for your eyes by adjusting both the strap sizing and placement as well as the IPD settings.A VR silicon cover is now included in the box which is a great addition for people with sensitive skin. This also resolves many of the complaints about skin irritation in the previous version.Being a classic PC gamer for many years, I would say VR technology is really something that every gamer should try. Just make sure that you are playing in a safe space and a specialized playing area!The Oculus Quest 2 is a fully standalone VR headset and I may also call it a ¡°gaming monster¡±, with native built-in games if you don¡¯t have a powerful gaming PC. It also works with steam VR games with no problem if you do have a gaming PC and you can connect them both using Steam link and the Oculus Link desktop app.The headset can have a refresh rate of up to 90Hz for some games, compared to only 72Hz on the previous model which also has a lower resolution. This is a big plus of course.Overall, in my opinion, this is the best VR headset around at this moment which can render up to near 4K resolution at 90hz.",172,1
04-Sep-21,the United States,5,This has the best enjoyment/dollar value of just about any purchase ever.,"This is my first and only VR experience.With that said, in just the first few minutes, during the setup and updating process, my mouth was agape.The tutorial had me smiling in wonder at the feeling of immersion.The apps available natively to the Quest 2 are varied and fun, if not cheap, but there are demos and free games out there.We like is so much, we are probably buying a second in the near future.However, my favorite piece of this requires use of a decent PC and fast Wi-Fi: Oculus AirLink, currently in Beta, is a cable free connection to the Oculus program on your computer that allows use of Oculus Rift and Steam VR games.These are generally games that need the extra processing power of a real GPU, and offer better graphics and more complex environments than the Quest alone can provide.Google Earth VR, a free app that isn't on the Quest natively is, for me, worth the price of admission on its own.Being able to walk among the skyscrapers of NYC, or play Gojira in Tokyo is awe inspiring.A couple of minor cons:Battery life is poor.During our first days, when we were using it especially heavily, I had a battery pack and USB-C cable connected to the Quest that we'd swap into pockets to add play time.They make improved head-strap setups that include provisions for holding a battery.About that strap, some in my family complained about it, so we may be shopping for an upgrade.I can live with it, however.In low light, the guardian, the virtual barrier that is set to keep you from running into walls, can flake out, dropping you out of the game.And lastly, a big con for some folks: This requires an active, real, Facebook account.Deactivating your account deactivates your Quest.Deleting you account deletes, permanently, all of your purchased apps, with no refund.There are lots of reports regarding problems with folks using fake names, secondary accounts, other folk's accounts, etc.When there are problems, Facebook will delete or lock accounts, and render your Quest a brick.Customer service is reportedly horrendous when trying to fix these problems.My advice would be to use your real account, don't fudge around, and you should be fine.Yes, they are tracking you, Yes they are subsidizing the prices of these thing by commodifying your data.However, unless you are already complete social media hermit, getting in bed a little deeper isn't going to alter your data footprint in any significant way.If you are here shopping on Amazon with a cellphone in your hand or pocket, worrying about Facebook is sort of pointless.TL;DR - GET ONE.It's a great value within the reach of many people.You can have a ton of fun without a PC, and even more with one.",133,1
23-Sep-21,the United States,1,These Developers Don't Understand Consumers,"OK So I gave it one star for the fact that VR is cool.It won't get 5 stars nor will I buy another headset from facebook's oculus for the following:-applications are SLOW and freeze all the time no matter how few apps you have open.-Multitasking is limited. Most apps put you all in on their app. There is no desktop and no windows.-Remote desktop is virtual and very slow.-Graphics are not that great. Things close up are fuzzy and pixilated at 1080. VRis not ready yet.-The keyboards in VR are interrupted by your pointer finger acting like a mouse randomly clicking things when you type.-The headset sucks at mapping my environment. Change one thing and suddenly I have to remap my environment instead of gaming. When you try to remap it... it remembers you placed a guardian or barrier then stops the setup. Then it forgets and makes you do setup. This keeps looping until you are pissed and restart the system.-There is no place to plug in headphones. Everyone has to listen to your music.-I constantly have to go to windows settings because the apps take over my computer speaker... oddly enough the device cannot usb-c connect or air connect but it can VR desktop and turn off my sound even when I turn off the headset.-The headset randomly glitches the environment making you seasick outside of apps-They are like apple trying to restrict all apps or on the Facebook system only. However, then all your friends with other devices are playing games outside of oculus closed system. They need to have a desktop home screen with windows not this browser internet only nonsense. I will not buy another one of these. There is too much to fix! They ruined VR for me. Especially as someone who develops games in UE4",84,1
